,MAN,WOMAN,PERSON,associated_word,ita_expressions
actor,0.33752599358558655,0.29062995314598083,0.16993911564350128,man,ATTORE
prose actor,0.30237630009651184,0.29298093914985657,0.18476800620555878,man,ATTORE DI PROSA
actor,0.33752599358558655,0.29062995314598083,0.16993911564350128,man,ATTRICE
driver,0.3336414098739624,0.24443359673023224,0.21212148666381836,man,AUTISTA
motorist,-0.013285222463309765,-0.010931285098195076,-0.03448208421468735,woman,AUTOMOBILISTA
author,0.27119433879852295,0.32337719202041626,0.22745858132839203,woman,AUTORE
screw,0.023441584780812263,0.05249468982219696,0.11334589868783951,person,AVVITARE
lawyer,0.3880822956562042,0.3492419123649597,0.1694502830505371,man,AVVOCATO
dad,0.3452819585800171,0.3656656742095947,0.2180764228105545,woman,BABBO
baby sitter,0.16608236730098724,0.30850622057914734,0.1619555503129959,woman,BABY SITTER
kisser,-0.07883608341217041,-0.03023773804306984,-0.11041533201932907,woman,BACIATRICE
caregiver,-0.06856060773134232,0.10333967953920364,-0.060101013630628586,woman,BADANTE
lifeguard,-0.017811691388487816,0.09999903291463852,-0.08719754964113235,woman,BAGNINA
lifeguard,-0.017811691388487816,0.09999903291463852,-0.08719754964113235,woman,BAGNINO
dance,0.19410447776317596,0.3187331557273865,0.24725954234600067,woman,BALLARE
dancer,0.18931086361408234,0.3459485173225403,0.07148390263319016,woman,BALLERINA
dancer,0.18931086361408234,0.3459485173225403,0.07148390263319016,woman,BALLERINO
baby,0.22979018092155457,0.4040789306163788,0.2756633460521698,woman,BAMBINA
baby,0.22979018092155457,0.4040789306163788,0.2756633460521698,woman,BAMBINO
banking,0.18014369904994965,0.09751518815755844,0.22809608280658722,person,BANCARIA
banking,0.18014369904994965,0.09751518815755844,0.22809608280658722,person,BANCARIO
barber shop,0.27366480231285095,0.25706422328948975,0.16665974259376526,man,BARBIERE
bartender,0.11052406579256058,0.15650005638599396,-0.050635065883398056,woman,BARISTA
barzellettere,0.1405104249715805,0.15468907356262207,0.1567327082157135,person,BARZELLETTIERE
nice,0.3152450621128082,0.30424419045448303,0.3895644545555115,person,BELLA
nice,0.3152450621128082,0.30424419045448303,0.3895644545555115,person,BELLO
gas station,0.2803751528263092,0.22364608943462372,0.3569298982620239,person,BENZINAIA
gas station,0.2803751528263092,0.22364608943462372,0.3569298982620239,person,BENZINAIO
janitor,0.09718755632638931,0.0847690999507904,-0.07315033674240112,man,BIDELLA
janitor,0.09718755632638931,0.0847690999507904,-0.07315033674240112,man,BIDELLO
child,0.3679729402065277,0.49664241075515747,0.3465648889541626,woman,BIMBA
child,0.3679729402065277,0.49664241075515747,0.3465648889541626,woman,BIMBO
biologist,0.08083069324493408,0.06071004644036293,-0.010374420322477818,man,BIOLOGA
mouthpiece,0.018909696489572525,-0.06089058145880699,0.07433686405420303,person,BOCCHINARA
good man,0.6707988381385803,0.5144455432891846,0.5893688201904297,man,BRAV'UOMO
good boy,0.5997621417045593,0.523983359336853,0.5368921160697937,man,BRAVA
good person,0.6070193648338318,0.52555912733078,0.6283854246139526,person,BRAVA PERSONA
good boy,0.5997621417045593,0.523983359336853,0.5368921160697937,man,BRAVO
bricoleur,0.13719283044338226,0.14241276681423187,0.1797930747270584,person,BRICOLEUR
bricoleur,0.13719283044338226,0.14241276681423187,0.1797930747270584,person,BRICOLEUSE
bricoleur,0.13719283044338226,0.14241276681423187,0.1797930747270584,person,BRICOMEN
ugly,0.1345847249031067,0.21501272916793823,0.2563909590244293,person,BRUTTO
you liar,0.39806440472602844,0.35597383975982666,0.4694967269897461,person,BUGIARDA
good,0.5494629144668579,0.4571637511253357,0.6169479489326477,person,BUONA
soccer player,0.4002881944179535,0.26585283875465393,0.30342406034469604,man,CACCIATORE
soccer player,0.4002881944179535,0.26585283875465393,0.30342406034469604,man,CACCIATRICE
fucks,-0.2023141235113144,-0.12023402005434036,-0.2733859121799469,woman,CAGACAZZI
soccer player,0.4002881944179535,0.26585283875465393,0.30342406034469604,man,CALCIATORE
soccer player,0.4002881944179535,0.26585283875465393,0.30342406034469604,man,CALCIATRICE
computer,0.27802473306655884,0.22044433653354645,0.30967220664024353,person,CALCOLATORE
change light bulbs,0.28950759768486023,0.27502354979515076,0.42460358142852783,person,CAMBIARE LAMPADINE
change light bulbs,0.28950759768486023,0.27502354979515076,0.42460358142852783,person,CAMBIARE LE LAMPADINE
waiter,0.14314980804920197,0.1676429659128189,0.007784924004226923,woman,CAMERIERA
waiter,0.14314980804920197,0.1676429659128189,0.007784924004226923,woman,CAMERIERE
truck driver,0.3066593408584595,0.2263001799583435,0.2370726466178894,man,CAMIONISTA
singer,0.19782660901546478,0.345647931098938,0.17743004858493805,woman,CANTANTE
sing,0.20231711864471436,0.2729906141757965,0.1928599774837494,woman,CANTARE
singer,0.19782660901546478,0.345647931098938,0.17743004858493805,woman,CANTORE
head,0.4126901924610138,0.31295955181121826,0.3417983055114746,man,CAPO
workshop head,0.3840286135673523,0.32346177101135254,0.273438960313797,man,CAPO OFFICINA
project leader,0.42476457357406616,0.30568310618400574,0.37270376086235046,man,CAPO PROGETTO
householder,-0.07401654124259949,-0.039705149829387665,-0.1189626008272171,woman,CAPOFAMIGLIA
carabinier,0.18115665018558502,0.1645604819059372,0.1341371387243271,man,CARABINIERE
cardiologist,0.0005883541889488697,0.03693294897675514,-0.08235367387533188,woman,CARDIOLOGA
carpenter,0.17446686327457428,0.15729135274887085,0.09577960520982742,man,CARPENTIERE
carpenter,0.17446686327457428,0.15729135274887085,0.09577960520982742,man,CARPENTIERIE
homemade,0.0761830285191536,0.08303473889827728,0.12359747290611267,person,CASALINGA
homemade,0.0761830285191536,0.08303473889827728,0.12359747290611267,person,CASALINGO
casinist,0.18248851597309113,0.1770348697900772,0.18550264835357666,person,CASINISTA
cashier,0.08932135999202728,0.14099253714084625,-0.048741213977336884,woman,CASSIERE
knight,0.23661848902702332,0.17590884864330292,0.16057439148426056,man,CAVALIERE
basketball player,0.4280867278575897,0.30700111389160156,0.2956772446632385,man,CESTISTA
that contributes to everyday life,0.5854517817497253,0.5345279574394226,0.6877805590629578,person,CHE CONTRIBUISCE  ALLA VITA QUOTIDIANA
chef,0.15290847420692444,0.22143302857875824,0.06119079887866974,woman,CHEF
chattery,0.2112247794866562,0.22324854135513306,0.1782274693250656,woman,CHIACCHIERONA
chattery,0.2112247794866562,0.22324854135513306,0.1782274693250656,woman,CHIACCHIERONE
surgeon,0.2583581209182739,0.2124796062707901,0.08153000473976135,man,CHIRURGO
guitarist,0.12784871459007263,0.08069126307964325,0.05573620647192001,man,CHITARRISTA
fat,0.1271914392709732,0.15066683292388916,0.2278505116701126,person,CICCIONE
cyclist,0.1241612359881401,0.1310265064239502,0.044995732605457306,woman,CICLISTA
citizen,0.3015255033969879,0.2670997083187103,0.20468680560588837,man,CITTADINA
citizen,0.3015255033969879,0.2670997083187103,0.20468680560588837,man,CITTADINO
customer,0.1688319891691208,0.21514441072940826,0.24990905821323395,person,CLIENTE
asshole,-0.2070791870355606,-0.16351322829723358,-0.16538561880588531,woman,COGLIONE
brother in law,0.6616688966751099,0.5058414936065674,0.5279830098152161,man,COGNATA
brother in law,0.6616688966751099,0.5058414936065674,0.5279830098152161,man,COGNATO
roommate,0.10711561888456345,0.18847940862178802,-0.045663654804229736,woman,COINQUILINA
roommate,0.10711561888456345,0.18847940862178802,-0.045663654804229736,woman,COINQUILINO
collaborate in the drafting of the work,0.5952870845794678,0.4580894112586975,0.6347811222076416,person,COLLABORARE ALLA STESURA DELL'OPERA
collaborator,0.04320673272013664,0.04305219277739525,-0.04965661093592644,man,COLLABORATORE
home collaborator,0.3707948923110962,0.35916492342948914,0.2956245541572571,man,COLLABORATORE IN CASA
collaborator for housework,0.26984769105911255,0.3394295573234558,0.2483324259519577,woman,COLLABORATORE PER LE FACCENDE DI CASA
collaborator,0.04320673272013664,0.04305219277739525,-0.04965661093592644,man,COLLABORATRICE
colleague,0.27357417345046997,0.23850581049919128,0.08578576147556305,man,COLLEGA
comic,0.17126022279262543,0.19360998272895813,0.19260960817337036,woman,COMICA
comic,0.17126022279262543,0.19360998272895813,0.19260960817337036,woman,COMICO
business consultant,0.3828445374965668,0.3197811543941498,0.329764723777771,man,COMMERCIALISTA
merchant,0.1784350723028183,0.1743478924036026,0.10669912397861481,man,COMMERCIANTE
shop assistant,0.3895170986652374,0.34628206491470337,0.2070123553276062,man,COMMESSA
shop assistant,0.3895170986652374,0.34628206491470337,0.2070123553276062,man,COMMESSO
commissioner,0.2338082641363144,0.16838513314723969,0.14125250279903412,man,COMMISSARIA
client,0.2810550630092621,0.2520639896392822,0.25543108582496643,man,COMMITTENTE
company,0.39323291182518005,0.3325262665748596,0.46629226207733154,person,COMPAGNA
work companion,0.4569205641746521,0.4515862762928009,0.4224933087825775,man,COMPAGNA DI LAVORO
student companion,0.3386229872703552,0.39374271035194397,0.2093018740415573,woman,COMPAGNA DI STUDI
life partner,0.48806536197662354,0.5047881603240967,0.4494642913341522,woman,COMPAGNA DI VITA
company,0.39323291182518005,0.3325262665748596,0.46629226207733154,person,COMPAGNO
life partner,0.48806536197662354,0.5047881603240967,0.4494642913341522,woman,COMPAGNO DI VITA
qualified,0.28914186358451843,0.2618529498577118,0.2164262980222702,man,COMPETENTE
partner in crime,0.5267722010612488,0.46357759833335876,0.5245022177696228,man,COMPLICE
with carla,0.26041412353515625,0.37394630908966064,0.2947579026222229,woman,CON CARLA
with friends,0.5114513635635376,0.5185383558273315,0.48766207695007324,woman,CON GLI AMICI
with animals,0.4145794212818146,0.38892877101898193,0.4821054935455322,person,CON GLI ANIMALI
with the children,0.5402758717536926,0.5471523404121399,0.6051064133644104,person,CON I BAMBINI
with children,0.46433699131011963,0.5223058462142944,0.5002115964889526,woman,CON I FIGLI
with the family,0.5697426795959473,0.5124194622039795,0.6264138221740723,person,CON LA FAMIGLIA
leader,0.3512074649333954,0.18041419982910156,0.21441714465618134,man,CONDOTTIERO
driver,0.3336414098739624,0.24443359673023224,0.21212148666381836,man,CONDUCENTE
conductor,0.16115976870059967,0.11773230880498886,0.030030356720089912,man,CONDUTTORE
spouse,0.10712902992963791,0.24962791800498962,0.1217360645532608,woman,CONIUGE
counselor,0.1228099912405014,0.1960502415895462,0.024415258318185806,woman,CONSIGLIERA
counselor,0.1228099912405014,0.1960502415895462,0.024415258318185806,woman,CONSIGLIERE
wife,0.44381773471832275,0.6033654808998108,0.2571352422237396,woman,CONSORTE
consultant,0.2403550148010254,0.21572506427764893,0.1103043183684349,man,CONSULENTE
accountant,0.14030161499977112,0.1424163579940796,0.010142545215785503,woman,CONTABILE
farmer,0.24780716001987457,0.189078226685524,0.0979565754532814,man,CONTADINO
alto,0.049831751734018326,0.0451555959880352,0.034386131912469864,man,CONTRALTO
cohabitant,-0.2508904039859772,-0.17939099669456482,-0.31860968470573425,woman,CONVIVENTE
coordinator,0.1377670168876648,0.09568208456039429,0.053759027272462845,man,COORDINATRICE
co-pilot,-0.053076405078172684,-0.07580535858869553,-0.19042715430259705,man,COPILOTA
choir,0.153932586312294,0.2005469650030136,0.08189435303211212,woman,CORISTA
run,0.38449859619140625,0.30357539653778076,0.42536741495132446,person,CORRERE
runner,0.24729083478450775,0.2949181795120239,0.16396188735961914,woman,CORRIDORE
builder,0.1258072853088379,0.04149297624826431,0.07238371670246124,man,COSTRUTTORE
creature,0.1598987728357315,0.18975196778774261,0.17207543551921844,woman,CREATURA
christian,0.2152072936296463,0.1769670844078064,0.19803372025489807,man,CRISTIANA
cristian christians,0.058175817131996155,0.01694047451019287,0.0629308745265007,person,CRISTIANACCIO
christian,0.2152072936296463,0.1769670844078064,0.19803372025489807,man,CRISTIANO
christ,0.27632173895835876,0.19876433908939362,0.18675553798675537,man,CRISTO
to cook,0.44338566064834595,0.4308741092681885,0.5334829688072205,person,CUCINARE
cooking the roast,0.2500564455986023,0.303631067276001,0.36926501989364624,person,CUCINARE L'ARROSTO
cook,0.21523937582969666,0.2750290632247925,0.2654438018798828,woman,CUCINIERA
cousin,0.2278723567724228,0.2413143515586853,0.11052340269088745,woman,CUGINA
cousin,0.2278723567724228,0.2413143515586853,0.11052340269088745,woman,CUGINO
cook,0.21523937582969666,0.2750290632247925,0.2654438018798828,woman,CUOCA
cook,0.21523937582969666,0.2750290632247925,0.2654438018798828,woman,CUOCO
dancer,0.18931086361408234,0.3459485173225403,0.07148390263319016,woman,DANZATRICE
get to do,0.5719432830810547,0.510991096496582,0.7141870260238647,person,DARSI DA FARE
employer,0.17723968625068665,0.21758094429969788,0.20944516360759735,woman,DATORE DI LAVORO
typist,-0.023263882845640182,0.053870249539613724,-0.1433979868888855,woman,DATTILOGRAFA
decorator,-0.024723222479224205,0.08896421641111374,-0.07314199209213257,woman,DECORATRICE
dentist,0.13089744746685028,0.19273094832897186,0.04003836214542389,woman,DENTISTA
designer,0.17112699151039124,0.26770347356796265,0.12556767463684082,woman,DESIGNER
detectives,0.15776371955871582,0.182524174451828,0.07508280128240585,woman,DETECTIVE
determined,0.40901222825050354,0.35530319809913635,0.42642736434936523,person,DETERMINATA
devil,0.1783558428287506,0.156647726893425,0.17015691101551056,man,DIAVOLO
dietician,-0.23147818446159363,-0.08563321828842163,-0.33715522289276123,woman,DIETOLOGO
employee,0.24321141839027405,0.26614245772361755,0.2185668796300888,woman,DIPENDENTE
paint,0.2004019170999527,0.21809640526771545,0.23264415562152863,person,DIPINGERE
director,0.30355513095855713,0.2838132083415985,0.2176762968301773,man,DIRETTORE
director,0.30355513095855713,0.2838132083415985,0.2176762968301773,man,DIRETTRICE
executive,0.26427996158599854,0.21066442131996155,0.25462985038757324,man,DIRIGENTE
draw,0.26186761260032654,0.21566401422023773,0.34246811270713806,person,DISEGNARE
designer,0.17112699151039124,0.26770347356796265,0.12556767463684082,woman,DISEGNATORE
designer,0.17112699151039124,0.26770347356796265,0.12556767463684082,woman,DISEGNATRICE
unemployed,0.17640112340450287,0.15462251007556915,0.07205560803413391,man,DISOCCUPATO
messy,0.04193514585494995,0.09187512844800949,0.1482285112142563,person,DISORDINATO
available,0.2718125879764557,0.24786320328712463,0.43220019340515137,person,DISPONIBILE
releaser,-0.35121867060661316,-0.24811378121376038,-0.29890066385269165,woman,DIVULGATORE
djs,-0.0762951523065567,-0.04635084792971611,-0.031190766021609306,person,DJ
professor,0.34198546409606934,0.29264381527900696,0.13931283354759216,man,DOCENTE
sweet,0.16812105476856232,0.2678881883621216,0.24408960342407227,woman,DOLCE
domestic,0.2476910650730133,0.19172236323356628,0.2756398320198059,person,DOMESTICA
domestic,0.2476910650730133,0.19172236323356628,0.2756398320198059,person,DOMESTICO
woman,0.41602498292922974,0.6433227062225342,0.32083165645599365,woman,DONNA
woman of the house,0.5811294317245483,0.5958068370819092,0.6049876809120178,person,DONNA DI CASA
play boy,0.5624363422393799,0.4874861240386963,0.46559906005859375,man,DONNAIOLO
sleepylone,0.21468983590602875,0.17880190908908844,0.15479741990566254,man,DORMIGLIONE
sleep,0.2684860825538635,0.31729578971862793,0.2581128180027008,woman,DORMIRE
doctor,0.4070321023464203,0.41086697578430176,0.2367158681154251,woman,DOTTORE
doctor,0.4070321023464203,0.41086697578430176,0.2367158681154251,woman,DOTTORESSA
drivers,0.18978384137153625,0.1042061522603035,0.1926926076412201,person,DRIVER
excellent,0.28363633155822754,0.20455272495746613,0.29194775223731995,person,ECCELLENTE
educator,0.11854895949363708,0.1876898556947708,-0.011249501258134842,woman,EDUCATORE
educator,0.11854895949363708,0.1876898556947708,-0.011249501258134842,woman,EDUCATRICE
efficient,0.12089251726865768,0.06674480438232422,0.25857841968536377,person,EFFICIENTE
selfish,0.1278257966041565,0.11936531215906143,0.13151733577251434,person,EGOISTA
element,0.16895906627178192,0.13801735639572144,0.29823675751686096,person,ELEMENTO
car electric,0.31145212054252625,0.24821139872074127,0.33923041820526123,person,ELETTRAUTO
electrician,0.08169952780008316,0.035947538912296295,-0.08993571251630783,man,ELETTRICISTA
escort,0.10701963305473328,0.25317147374153137,0.055743128061294556,woman,ESCORT
expert,0.2431333214044571,0.1928810477256775,0.18137361109256744,man,ESPERTO
to be,0.5864089727401733,0.4972955882549286,0.7169203162193298,person,ESSERE
human being,0.501127302646637,0.45061343908309937,0.5438351631164551,person,ESSERE UMANO
living being,0.5301770567893982,0.481507271528244,0.5441534519195557,person,ESSERE VIVENTE
beautician,-0.12701371312141418,0.07598984986543655,-0.24035735428333282,woman,ESTETISTA
blacksmith,0.032152559608221054,-0.05585332587361336,-0.09795784205198288,man,FABBRO
clerk,0.24268227815628052,0.25511038303375244,0.07525921612977982,woman,FACCENDIERE
porter,0.15568193793296814,0.15034084022045135,0.07515037059783936,man,FACCHINO
factotum,-0.13935886323451996,-0.14452728629112244,-0.25667256116867065,man,FACTOTUM
do-it-yourself,-0.1469341665506363,-0.1618458330631256,-0.22375884652137756,man,FAI DA TE
carpenter,0.17446686327457428,0.15729135274887085,0.09577960520982742,man,FALEGNAME
wonderful,0.24200594425201416,0.3294566571712494,0.36607664823532104,person,FANCAZZISTA
child,0.3679729402065277,0.49664241075515747,0.3465648889541626,woman,FANCIULLA
child,0.3679729402065277,0.49664241075515747,0.3465648889541626,woman,FANCIULLO
laughter,0.1512576788663864,0.20619045197963715,0.12932251393795013,woman,FANNULLONE
doing male things too,0.5764182209968567,0.5829012393951416,0.6732264757156372,person,FARE COSE ANCHE MASCHILI
making sweets,0.3197256922721863,0.30961793661117554,0.3716273903846741,person,FARE DOLCI
doing homework,0.3765798807144165,0.40937891602516174,0.42938780784606934,person,FARE I COMPITI
make the accounts,0.5409294962882996,0.4488746225833893,0.6731166243553162,person,FARE I CONTI
do the shopping,0.48699283599853516,0.46688345074653625,0.6576334238052368,person,FARE LA SPESA
do heavy work,0.5537685751914978,0.5027341842651367,0.6562128663063049,person,FARE LAVORI PESANTI
do the house chores,0.5299448370933533,0.5127843618392944,0.6183276772499084,person,FARE LE FACCENDE DI CASA
do the housework,0.42572078108787537,0.46949395537376404,0.5710960626602173,person,FARE LE FACCENDE DOMESTICHE
do the cleaning,0.5058113932609558,0.4949725270271301,0.6411017775535583,person,FARE LE PULIZIE
make minor repairs,0.42147698998451233,0.36844661831855774,0.4588673412799835,person,FARE PICCOLE RIPARAZIONI
do small household work,0.5620297193527222,0.5102427005767822,0.6429388523101807,person,FARE PICCOLI LAVORI DOMESTICI
do everything,0.5552207231521606,0.5165783762931824,0.6895431280136108,person,FARE TUTTO
pharmacist,0.06841696053743362,0.10860930383205414,-0.06361948698759079,woman,FARMACISTA
make me feel good,0.6121463179588318,0.5680220723152161,0.7320398092269897,person,FARMI SENTIRE BENE
delivery man,0.4674026370048523,0.3582203984260559,0.35561177134513855,man,FATTORINO
fool,0.20956355333328247,0.14650997519493103,0.2644384503364563,person,FESSO
fiancé,-0.1288067102432251,0.12257468700408936,-0.19917364418506622,woman,FIDANZATA
fiancé,-0.1288067102432251,0.12257468700408936,-0.19917364418506622,woman,FIDANZATO
sounds cool,0.30161601305007935,0.317166268825531,0.41977623105049133,person,FIGA
son,0.47101354598999023,0.35107362270355225,0.2240363508462906,man,FIGLIA
son,0.47101354598999023,0.35107362270355225,0.2240363508462906,man,FIGLIO
son,0.47101354598999023,0.35107362270355225,0.2240363508462906,man,FIGLIOLA
son,0.47101354598999023,0.35107362270355225,0.2240363508462906,man,FIGLIOLO
sounds cool,0.30161601305007935,0.317166268825531,0.41977623105049133,person,FIGO
flower shop,0.2287333756685257,0.2513071298599243,0.2079143524169922,woman,FIORAIA
flower shop,0.2287333756685257,0.2513071298599243,0.2079143524169922,woman,FIORAIO
physiatric,0.18969254195690155,0.23415860533714294,0.12591111660003662,woman,FISIATRA
baker,0.25785353779792786,0.23988258838653564,0.18544434010982513,man,FORNAIO
i photograph,0.5715121030807495,0.5500532984733582,0.5496988892555237,man,FOTOGRAFA
i photograph,0.5715121030807495,0.5500532984733582,0.5496988892555237,man,FOTOGRAFO
brother,0.4677540361881256,0.31501978635787964,0.2289939671754837,man,FRATELLO
freelance,0.14187799394130707,0.16524825990200043,-0.010423805564641953,woman,FREELANCE
greengrocer,-0.1271463930606842,-0.16179056465625763,-0.29384928941726685,man,FRUTTIVENDOLA
greengrocer,-0.1271463930606842,-0.16179056465625763,-0.29384928941726685,man,FRUTTIVENDOLO
cartoonist,0.09331998974084854,0.02399250492453575,-0.020814338698983192,man,FUMETTISTA
officer,0.37835490703582764,0.31291455030441284,0.21849112212657928,man,FUNZIONARIO
cunning,0.06758828461170197,0.05776866152882576,0.020672183483839035,man,FURBO
ice cream man,0.3877936005592346,0.3504495918750763,0.3493209779262543,man,GELATAIA
ice cream man,0.3877936005592346,0.3504495918750763,0.3493209779262543,man,GELATAIO
son in law,0.6582342386245728,0.5178675055503845,0.5171590447425842,man,GENERO
generous,0.17019179463386536,0.1581260859966278,0.19465787708759308,person,GENEROSA
generous,0.17019179463386536,0.1581260859966278,0.19465787708759308,person,GENEROSO
parent,0.16337549686431885,0.23963558673858643,0.2970399260520935,person,GENITORE
gentleman,0.23466140031814575,0.15217091143131256,0.1171431913971901,man,GENTILUOMO
gentleman,0.23466140031814575,0.15217091143131256,0.1171431913971901,man,GENTLEMEN
geologist,0.054713405668735504,-0.06268291175365448,-0.07874222844839096,man,GEOLOGO
surveyor,0.10184101015329361,-0.03221694380044937,-0.03348339721560478,man,GEOMETRA
managing work and family,0.6076381802558899,0.5321962833404541,0.5828100442886353,man,GESTIRE LAVORO E FAMIGLIA
managing situations,0.2636507451534271,0.18341931700706482,0.2786310315132141,person,GESTIRE LE SITUAZIONI
gardener,0.11644254624843597,0.11566546559333801,-0.038214538246393204,man,GIARDINIERA
gardener,0.11644254624843597,0.11566546559333801,-0.038214538246393204,man,GIARDINIERE
